Traits	Genes	Variants
Basophil	0.0121422376409	0.0262974399841
Eosinophil	0.0352941176471	0.0346798089133
Neutrophil	0.0442013129103	0.0260971176318
Monocyte	0.049815498155	0.0577292535495
Lymphocyte	0.0388732394366	0.0519025988532
WBC	0.0488418932528	0.0569816006321
RBC	0.0753058103976	0.0508563899868
MCV	0.103802992519	0.0662151813918
Hemoglobin	0.0490797546012	0.0296266923469
Hematocrit	0.0545389307499	0.0447873541588
MCH	0.0869872701556	0.0772163965682
MCHC	0.0672686230248	0.011971539915
PLC	0.0701497990501	0.0456983297295
DBP	0.0750879937427	0.0210530792787
SBP	0.0845323741007	0.0419510984237
CRP	0.0384815392616	0.0469376838727
EGFR	0.0691780821918	0.0516666666667
Urate	0.0802092414996	0.052109325132
HBA1C	0.0727467237229	0.0228856658504
LDL	0.075227599425	0.0479837375313
HDL	0.0772179627601	0.041117865586
Triglyceride	0.0852816153029	0.0499615369043
Cholesterol	0.0959548447789	0.0549275126242
BMI	0.0640579710145	0.0471474969992
Height	0.0661290322581	0.0981754407877
