Traits	Genes	Variants
Basophil	0.027817067421	0.014791237596
Eosinophil	0.0530864197531	0.0357322076925
Neutrophil	0.0665438636887	0.0319376709885
Monocyte	0.0658737419945	0.0450048998761
Lymphocyte	0.0604651162791	0.0385212799006
WBC	0.0682637815559	0.0585174503615
RBC	0.0879796480814	0.0524552879148
MCV	0.122088655147	0.062489353936
Hemoglobin	0.0694124423963	0.0391195493428
Hematocrit	0.0762781186094	0.0407353394845
MCH	0.100809716599	0.0658147806613
MCHC	0.084375	0.0155173256439
PLC	0.0818262020291	0.0526840258221
DBP	0.109567198178	0.0246037412537
SBP	0.111070110701	0.0330096556999
CRP	0.0531884472405	0.0181024357861
EGFR	0.11044055522	0.0458795999313
Urate	0.104886160143	0.0425469728601
HBA1C	0.119944640935	0.020554390715
LDL	0.107283464567	0.0287728304133
HDL	0.119826058947	0.0317966931439
Triglyceride	0.122785583384	0.0345640845856
Cholesterol	0.106160214268	0.0429364642055
BMI	0.115775664152	0.0421433929621
Height	0.103148148148	0.0913915857605
