Traits	Genes	Variants	Clumps
Basophil	0.00807754442649	0.0123697916667	0.289795918367
Eosinophil	0.0122950819672	0.0237056837366	0.133720930233
Neutrophil	0.0254372019078	0.0162710056015	0.264416315049
Monocyte	0.0187353629977	0.0409173204587	0.377586206897
Lymphocyte	0.0193905817175	0.0194423126119	0.315217391304
WBC	0.0256959314775	0.0999216021666	0.462948517941
RBC	0.0818181818182	0.0299670362601	0.529465930018
MCV	0.110894941634	0.0672088832611	0.373607540703
Hemoglobin	0.0411764705882	0.0064017487704	0.0479723046489
Hematocrit	0.0331632653061	0.00960485297835	0.0239664469742
MCH	0.12180974478	0.0744208969936	0.475092250923
MCHC	0.0779816513761	0.00185245059815	0.0413836021366
PLC	0.0635386119257	0.0296866410115	0.409060626249
DBP	0.0549065420561	0.0110599078341	0.40203562341
SBP	0.0483870967742	0.028459090058	0.356304985337
CRP	0.0462633451957	0.189535309184	0.296703296703
EGFR	0.0308457711443	0.0516282764098	0.253137170056
Urate	0.0649006622517	0.0433977918182	0.658929546696
HBA1C	0.015668202765	0.0269356051115	0.020156774916
LDL	0.0577933450088	0.0614366729679	0.54401650619
HDL	0.0493273542601	0.055033557047	0.316814764183
Triglyceride	0.0692375109553	0.107802776448	0.399041752225
Cholesterol	0.061135371179	0.0861046661511	0.31160164271
BMI	0.0340909090909	0.0515756768753	0.263570566948
Height	0.0324873096447	0.0889963928533	0.770945165455
