Traits	Variants	Genes
MCV	0.588166373755	0.0269938650307
PLC	0.448224112056	0.0251046025105
Height	0.582088717346	0.030303030303
BMI	0.655723158829	0.0434782608696
DBP	0.567132116004	0.056338028169
SBP	0.575163398693	0.0291262135922
WBC	0.4447761194030001	0.03614457831330002
RBC	0.5736806031530001	0.010071942446
Hemoglobin	0.403899721448	0.00998573466476
Hematocrit	0.639520958084	0.00812347684809
MCH	0.592408214063	0.036507936507900005
MCHC	0.6617781851510001	0.0292682926829
Lymphocyte	0.524879614767	0.00998003992016
Monocyte	0.631875881523	0.0228571428571
Neutrophil	0.533941236069	0.0322580645161
Eosinophil	0.642113690953	0.0165413533835
Basophil	0.942307692308	0.010775862069
Urate	0.72475653511	0.0255754475703
Triglyceride	0.740031897927	0.056768558952
Cholesterol	0.681267109894	0.00749063670412
LDL	0.7056962025319999	0.06722689075629999
HDL	0.621930325528	0.075117370892
HBA1C	0.525252525253	0.08510638297869999
EGFR	0.5247406225060001	0.013698630137
CRP	0.79003021148	0.047619047619
