chr	gene	test_q	q_var	pval
1	A3GALT2	0.00020080529719	2.01954416217e-08	0.97283142005
1	AADACL3	0.000560418179944	2.26251891702e-08	0.432919050064
1	AADACL4	0.000477811027502	3.24678314814e-08	0.82053913934
1	ABCA4	0.0010399604289	1.1319631427e-07	0.985997601453
1	ABCB10	0.00017158833565	2.80522803804e-08	0.998979334757
1	ABCD3	0.000211053132629	1.95286847403e-08	0.968529971059
1	ABL2	0.000259695308615	3.76264927723e-08	0.993748421808
1	ACADM	0.000194441877517	1.8331429007e-08	0.946187081055
1	ACAP3	0.000255466347942	1.10841897907e-08	0.627960039268
1	ACBD3	0.000148849856455	1.84387784338e-08	0.967281577658
1	ACBD6	0.00054472997218	5.79549618391e-08	0.970115184772
1	ACKR1	0.000369817755649	1.9573237248e-08	0.720937477063
1	ACOT7	0.000348221515189	3.05956746888e-08	0.973916084387
1	ACOT11	0.000511770937628	6.24719297155e-08	0.993931122153
1	ACP6	0.000349446803036	2.99633299611e-08	0.962198073889
1	ACTA1	0.000143359823645	1.31612561654e-08	0.947903806595
1	ACTG1P4	4.88261155457e-05	1.72281184454e-09	0.499998471019
1	ACTL8	0.000342764252218	5.36682761859e-08	0.999707264043
1	ACTN2	0.000479742648099	6.15759680667e-08	0.971925435883
1	ACTRT2	0.0002973457646	1.42469877514e-08	0.650150984816
1	ADAM15	0.0	2.05551646922e-08	1.0
1	ADAM30	9.37562214262e-05	1.39651639564e-08	0.995158628681
1	ADAMTS4	0.000772671200182	3.61249074905e-08	0.266290903551
1	ADAMTSL4	0.000478300038914	2.6470689735e-08	0.754486492434
1	ADAMTSL4-AS1	0.000478300038914	2.26836840379e-08	0.59864897621
1	ADAR	0.000431845736149	2.2452354366e-08	0.567885656322
1	ADC	0.000243773521762	9.57937692779e-09	0.585675821944
1	ADCK3	7.83981362724e-05	4.26977590422e-08	0.999999769903
1	ADCY10	0.000568582235626	4.67740082811e-08	0.934856151704
1	ADIPOR1	2.40038133011e-05	1.78681741116e-08	0.999998499975
1	ADORA1	0.00017608770211	2.7855524583e-08	0.999448150679
1	ADORA3	0.000871262283832	6.30422237762e-08	0.948336283714
1	ADPRHL2	9.41548819805e-05	6.10964134246e-09	0.863476320705
1	ADSS	0.000429107003423	4.52882219721e-08	0.971354320632
1	AGBL4	0.00095334542019	2.09450055965e-07	0.999999924136
1	AGBL4-IT1	8.05473008731e-05	6.88926901471e-09	0.894066942777
1	AGL	0.000908803646922	2.32841903159e-08	0.0567396216628
1	AGMAT	0.000158096001704	1.74417417982e-08	0.932723381526
1	AGO1	3.32201129172e-05	6.123151602e-09	0.992208930436
